"date","pd","time","team","g_id","g_last","g_first","a1_id","a1_last","a1_first","a2_id","a2_last","a2_first"
"2016-11-10","2","7:33","PIT",4523,"Hornqvist","Patric",4008,"Kessel","Phil",3652,"Malkin","Evgeni"
"2016-11-10","2","9:07","MIN",4868,"Niederreiter","Nino",247,"Staal","Eric",NA,NA,NA
"2016-11-10","3","2:56","MIN",247,"Staal","Eric",5124,"Coyle","Charlie",4868,"Niederreiter","Nino"
"2016-11-10","3","19:30","MIN",855,"Pominville","Jason",4918,"Spurgeon","Jared",NA,NA,NA
"2016-11-12","1","1:22","TOR",5562,"Hyman","Zach",4331,"Hunwick","Matt",5305,"Marincin","Martin"
"2016-11-12","2","3:06","PIT",3652,"Malkin","Evgeni",4030,"Letang","Kris",4523,"Hornqvist","Patric"
"2016-11-12","2","19:42","PIT",898,"Kunitz","Chris",5500,"Rust","Bryan",4905,"Cole","Ian"
"2016-11-12","3","6:58","PIT",5500,"Rust","Bryan",3490,"Crosby","Sidney",5892,"Sheary","Conor"
"2016-11-12","3","10:14","PIT",3490,"Crosby","Sidney",5310,"Dumoulin","Brian",4030,"Letang","Kris"
"2016-11-16","1","7:32","WSH",4547,"Oshie","T.J.",4456,"Beagle","Jay",NA,NA,NA
"2016-11-16","1","17:30","WSH",4264,"Backstrom","Nicklas",4547,"Oshie","T.J.",4300,"Niskanen","Matt"
"2016-11-16","1","19:52","WSH",4547,"Oshie","T.J.",4264,"Backstrom","Nicklas",4735,"Carlson","John"
"2016-11-16","2","5:19","WSH",5036,"Orlov","Dmitry",4882,"Johansson","Marcus",4264,"Backstrom","Nicklas"
"2016-11-16","3","5:37","WSH",196,"Williams","Justin",4547,"Oshie","T.J.",4264,"Backstrom","Nicklas"
"2016-11-16","3","10:26","WSH",3495,"Ovechkin","Alex",5451,"Burakovsky","Andre",NA,NA,NA
"2016-11-16","3","16:28","PIT",4008,"Kessel","Phil",4775,"Bonino","Nick",5118,"Schultz","Justin"
"2016-11-16","3","16:58","WSH",4264,"Backstrom","Nicklas",5269,"Schmidt","Nate",479,"Orpik","Brooks"
"2016-11-18","1","15:19","PIT",3490,"Crosby","Sidney",4030,"Letang","Kris",898,"Kunitz","Chris"
"2016-11-18","2","1:51","NYI",5226,"Nelson","Brock",4997,"Strome","Ryan",4680,"Tavares","John"
"2016-11-18","2","2:34","NYI",5623,"Beauvillier","Anthony",NA,NA,NA,NA,NA,NA
"2016-11-18","2","13:55","PIT",701,"Daley","Trevor",4008,"Kessel","Phil",898,"Kunitz","Chris"
"2016-11-18","4","1:24","PIT",4030,"Letang","Kris",3490,"Crosby","Sidney",4008,"Kessel","Phil"
"2016-11-19","1","8:16","BUF",10174,"Carrier","William",5288,"Fedun","Taylor",NA,NA,NA
"2016-11-19","3","5:46","PIT",3490,"Crosby","Sidney",898,"Kunitz","Chris",3652,"Malkin","Evgeni"
"2016-11-21","1","1:02","PIT",11327,"Guentzel","Jake",4008,"Kessel","Phil",701,"Daley","Trevor"
"2016-11-21","1","13:12","PIT",11327,"Guentzel","Jake",3652,"Malkin","Evgeni",4008,"Kessel","Phil"
"2016-11-21","2","4:51","NYR",319,"Nash","Rick",NA,NA,NA,NA,NA,NA
"2016-11-21","2","14:23","NYR",4688,"Grabner","Michael",4852,"McDonagh","Ryan",NA,NA,NA
